1,"Evan ""headsupfpv"" Turner","$5,000"
2,"alex ""captainvanover"" vanover","$2,000"
3,"Soren ""phatkid"" Monroe-Anderson","$1,000"
4,"Eli ""Bull-Fpv"" Abitbol",$500
5,"Cory ""MewoFPV"" Ibanez",$500
6,"Jonathan ""JT_FPV"" Templeton",$250
7,"Christian ""AdaptFPV"" Logsdon",$250
8,"Andy ""DolmaFpv"" Marachilian",$250
9,"Mark ""Mcgap"" Braymer",
10,"Kevin ""kmead"" Mead",
11,"Liam ""WaFL"" Flanagan",
12,"Matthew ""ChewyFPV"" Nordt",
13,"Gilbert ""32bitsofGil"" Coronado",
14,"Zach ""FalconX"" Carlson",
15,"Anthony ""AKnumbers"" Kuhns",
16,"Colby ""SFPV"" Curtola",
17,"Paul ""NURK"" Nurkkala",
18,"Ken ""FlyingBear"" Loo",
19,"Ashton ""Drobotracer"" Gamble",
20,"Ian ""Thrash"" Pataky",
21,"Dallas ""MURICAFPV"" Kemp",
22,"Mason ""Hyper"" Lively",
23,"Patrick ""Enginair"" White",
24,"John ""JohnEFly"" Chapman",
25,"Joshua ""LeninFPV"" Funn",
26,"Don ""T3hDon"" Honaker",
27,"Jerrod ""Jrod"" Quillen",
28,"Michael ""SparkyMJ"" Saalwaechter",
29,"Jordan ""JET"" Temkin",
30,"Ivan ""limon"" Efimov",
31,"Jonny ""NeonFPV"" Exner",
32,"Justin ""Itwillbefun"" Skinner",
33,"Olaf ""Viking_Fpv"" Hichwa",
34,"Russell ""BigRuss"" Jackson",
35,"Christopher ""FLYKUX"" Bevan",
36,"Matt ""FAZED"" Loven",
37,"Sergio ""Surgicalfpv"" Aicardi",
38,"Jacob ""jawz"" Schneider",
39,"Christian ""Amari"" Van Sloun",
40,"rafael ""Fallo"" cabanas",
41,"Armando ""Mondo"" Gallegos",
42,"Christopher ""fpvCH"" Hartman",
43,"Cooper ""SupaCoopa"" Groves",
44,"Aaron ""KidDrone"" Vliet",
45,"Christian ""fpvprovo"" Petersen",
46,"Lou ""LunaticFPV"" Averbach",
47,"Josh ""spitfire"" Sarchet",
48,"Dave ""KrispyDave"" Zubkov",
49,"Christopher ""OTTER"" Moore",
50,"Lucas ""Droner"" Dearborn",
51,"Jordan ""RacerJo"" Harris",
52,"Gerald ""sirspeedy"" Dale",
53,"Brodie ""Robogenesis"" Springer",
54,"Kevin ""FineFPV"" Fine",
55,"Dave ""MakerFPV"" Schlitter",
56,"Ethan ""EthanFPV"" Kling",
